City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,caxito,-8.5785,13.6643,20.53,89,8,0.99,AO,1724791843
313,faya-largeau,17.9257,19.1043,29.5,57,80,3.68,TD,1724791844
314,urucara,-2.5364,-57.76,36.52,26,55,1.63,BR,1724791845
315,igarka,67.4667,86.5833,12.8,96,99,2.03,RU,1724791847
316,cidreira,-30.1811,-50.2056,13.56,86,16,2.45,BR,1724791848
317,bauska,56.4075,24.1906,13.75,82,24,1.55,LV,1724791850
318,nzerekore,7.7562,-8.8179,19.51,99,100,0.79,GN,1724791851
319,mamou,10.5,-12.0,22.08,95,100,0.73,GN,1724791852
320,sorong,-0.8833,131.25,25.03,90,100,3.27,ID,1724791854
321,twin falls,42.3505,-114.6445,28.19,18,0,4.12,US,1724791841
322,bhimunipatnam,17.8833,83.4333,28.23,70,100,2.0,IN,1724791857
323,gantang,26.92,119.6333,24.84,94,66,0.77,CN,1724791858
324,kavaratti,10.5669,72.642,27.33,85,98,4.74,IN,1724791859
325,santa coloma de farners,41.8667,2.6667,23.45,83,0,0.0,ES,1724791861
326,farkhar,36.5729,69.8578,18.74,30,0,2.42,AF,1724791862
327,syktyvkar,61.6764,50.8099,12.85,82,0,1.0,RU,1724791863
328,rio grande,-32.035,-52.0986,12.63,85,100,3.28,BR,1724791865
329,nova xavantina,-14.6667,-52.35,31.97,19,0,1.98,BR,1724791866
330,revelstoke,50.9832,-118.2023,13.01,82,100,3.09,CA,1724791867
331,port douglas,-16.4833,145.4667,22.1,80,17,4.17,AU,1724791869
332,at taj,24.2049,23.2857,29.94,41,34,7.38,LY,1724791870
333,kiunga,-6.1219,141.2906,21.77,98,100,1.05,PG,1724791871
334,princeville,45.7668,-61.2985,24.27,66,20,5.66,CA,1724791873
335,flying fish cove,-10.4217,105.6791,23.82,88,75,5.66,CX,1724791874
336,huarmey,-10.0681,-78.1522,19.55,76,22,5.03,PE,1724791875
337,dingalan,15.3897,121.3929,26.02,89,96,2.92,PH,1724791877
338,waingapu,-9.6567,120.2641,22.81,86,51,1.8,ID,1724791878
339,greymouth,-42.4667,171.2,9.68,90,19,1.79,NZ,1724791879
340,magadan,59.5667,150.8,10.78,95,100,0.13,RU,1724791695
341,ancud,-41.8697,-73.8203,8.31,71,100,1.84,CL,1724791785
342,ellsworth,44.5434,-68.4195,22.86,76,0,4.63,US,1724791884
343,alo,6.5486,4.2686,24.19,92,38,3.07,NG,1724791885
344,bikenibeu village,1.3673,173.1241,28.98,79,75,3.6,KI,1724791886
345,villa gesell,-37.2639,-56.973,12.98,66,3,2.67,AR,1724791592
346,kilju,40.9642,129.3278,18.73,85,31,2.15,KP,1724791889
347,ponta delgada,37.7333,-25.6667,23.4,68,20,3.6,PT,1724791890
348,manakara,-22.1333,48.0167,20.61,82,95,3.79,MG,1724791891
349,cikampek,-6.4197,107.4558,23.68,66,95,1.12,ID,1724791893
350,alto barinas,8.5931,-70.2261,30.88,60,9,2.1,VE,1724791894
351,soe,-9.8607,124.284,15.74,90,4,2.39,ID,1724791895
352,coquimbo,-29.9533,-71.3436,13.85,71,75,3.6,CL,1724791630
353,santa rosalia,27.3167,-112.2833,32.88,48,6,3.71,MX,1724791898
354,andapa,-14.65,49.65,15.11,96,77,0.9,MG,1724791899
355,myitkyina,25.3833,97.4,24.46,98,99,0.19,MM,1724791900
356,hoeryong,42.4428,129.7508,14.45,93,0,1.32,KP,1724791902
357,wynyard,-41.0,145.7167,7.99,82,100,9.76,AU,1724791903
358,qulsary,46.9531,54.0198,23.33,32,0,5.39,KZ,1724791904
359,jumla,29.2747,82.1838,14.5,91,90,0.81,NP,1724791905
360,kerikeri,-35.2268,173.9474,11.62,94,100,2.81,NZ,1724791754
361,cruzeiro do sul,-29.5128,-51.9853,15.84,79,3,1.14,BR,1724791908
362,rtishchevo,52.2604,43.7874,19.11,52,12,3.08,RU,1724791909
363,juneau,58.3019,-134.4197,12.0,82,100,5.14,US,1724791910
